main_id,ra,dec,sp_type
2MASS J10284567+5913577,157.19006779335,59.23261814009,M5V
2MASS J13263134+3926124,201.6306631296,39.43682702974,M3V
ULAS J221809.27+001038.8,334.53859634245,0.17740065404999997,M
UCAC4 638-020664,74.426819,37.405654999999996,M2
UCAC4 661-042690,90.96787480189042,42.1427476597975,M2
LSPM J1245+1228,191.33334399102,12.4731653413,M6V
LP  801-25,223.54332167097206,-20.69118061646389,M4.5
UCAC4 435-047935,129.0845948428775,-3.0741068787275,M2
SDSS J132320.41+392237.4,200.83504646479,39.37705570077,M3V
G 235-24,140.3235645,60.3629398,M1.5V
2MASS J04312509+2223219,67.85455367275459,22.389411840629997,M2.4
2MASS J12463245+1247167,191.63518307556998,12.787985192509998,M6V
UCAC4 429-046685,131.68040418785665,-4.241152781381111,M2
2MASS J05032480+1649140,75.85335392398667,16.820548167067223,M4.0
2MASS J05475571+2448265,86.9821620626504,24.807356083681942,M2.0
2MASS J04190537+2940545,64.77238852162708,29.681789431422775,M3.4
2MASS J04232278+3149344,65.84495106045416,31.826200400352224,M3.5
2MASS J05460009+2621394,86.50037537656125,26.360930119289726,M2.7
SDSS J090500.07+351611.2,136.25029794802,35.26983494182,M2V
SLW J1022+5835B,155.68793903327,58.59745191737,M4.0
2MASS J15514677+1637348,237.944889,16.626337,M
UCAC4 632-048346,193.45992091843246,36.24720721055862,M2
2MASS J10221205+5853468,155.55027790841,58.89634100519,M6V
UCAC4 590-024646,89.60763700810084,27.87753643840833,M2
SDSS J151639.94+382511.5,229.16642469692914,38.41988270065083,M0V
UCAC4 626-036013,99.71224715392833,35.17456990591444,M2
SDSS J112400.09+205857.9,171.00047766861,20.98271876014,M1V
2MASS J10183439+5858101,154.6432404994,58.96944334183001,M5V
UCAC4 697-057912,260.02543593934536,49.24436315258777,M2e
BD+03  3227,248.81376443237002,2.78289347586,M2
SDSS J143415.36+080314.5,218.5640411020579,8.05405553319778,M2V
V* DT TrA,249.38664449278,-65.07828005055,Me
CD-54   487,34.39232577576418,-53.98902812766444,M3.5V
SDSS J142744.79+083755.0,216.93664862250787,8.632001190758334,M1V
UCAC4 724-049664,162.02386291162333,54.67810919933722,M2
SDSS J121053.73+234248.3,182.72387146991,23.71341071918,M2V
SDSS J084238.81+234952.8,130.66171084106747,23.831383767768333,M3V
UCAC4 681-015807,41.47693916371667,46.12729153530221,M2
UCAC4 649-046929,131.8090839,39.6795103,M2
2MASS J12473603+1342115,191.90001207756998,13.703195088100001,M4V
L  202-127,247.16393490057473,-57.74999107641407,M0
SDSS J224940.12-002742.3,342.41717080157,-0.4617352353000001,M5V
UCAC4 544-020080,88.19503860000002,18.7451662,M2e
2MASS J05133621+3234087,78.400909,32.56911100000001,M2
2MASS J12424308+1253331,190.67951702724,12.89255970375,M7V
UCAC4 539-047658,139.0953775618204,17.689959211985002,M2
SDSS J215900.10-083626.7,329.75037609272545,-8.607449216731942,M1V
UCAC4 503-058162,204.3114149178746,10.520893758214443,M2e
*  42 Her,249.68685420526998,48.92834232506,M2III
UCAC4 600-055424,244.35684101704078,29.898439411629443,M2e
2MASS J10251998+5951028,156.3332034664,59.85074916265,M8V
SDSS J225035.83-084156.5,342.64925959282,-8.69908220418,M0V
2MASS J12395458+1422255,189.97742994627998,14.373733500840002,M8V
2MASS J01040814+3623016,16.0340053764248,36.3838210531356,M5
UCAC4 499-062263,232.49966473601083,9.646409066030277,M2
2MASS J05135035+2709031,78.459805,27.150865999999994,M2
2MASS J16332027+3228042,248.334476,32.467861000000006,M2
2MASS J02534505+0926215,43.437737999999996,9.439307999999999,M2
UCAC4 516-141100,324.4952477,13.0112417,M2
2MASS J07431711+1252341,115.82132499999999,12.876148,M2e
IRAS 07115-1115,108.49800092321,-11.353485406640003,M6
UCAC4 437-060086,232.08687775879793,-2.6913670279397217,M2
2MASS J22152333+1233010,333.847213,12.550288000000002,M2
2MASS J12364784+1358069,189.19941279074996,13.96840619373,M4V
2MASS J00332457+4238582,8.352365325270004,42.649477997761664,M2e
KOI-256,285.18510369423,49.56534692185,M3V
UCAC4 683-051174,124.91111899999999,46.57936500000001,M2e
HD 149372,249.25784763912998,-52.92351926824999,M1/2(III)
NAME Steph 545,,,M3
SDSS J222356.52+134637.5,335.98554014381205,13.777108390271112,M4V
2MASS J04264916+1331160,66.704835,13.521112000000002,M2e
SDSS J212404.15-003340.7,321.0172883545499,-0.5613149588599999,M1V
2MASS J10340271+5919382,158.51122852607,59.327270313709995,M6V
