pl_name,pl_orbsmax,pl_orbeccen,pl_bmassj,pl_rade,hostname,st_teff,st_rad,st_mass
"Kepler-1167 b",0.0175000000,0.000000,0.01120000,1.71000000,"Kepler-1167",4971.00,0.750000,0.790000
"Kepler-1740 b",0.0779000000,0.000000,0.03470000,3.32321414,"Kepler-1740",5705.00,0.905000,0.943000
"Kepler-1581 b",0.0686500000,0.000000,0.00137000,0.80000000,"Kepler-1581",6022.00,1.230000,1.120000
"Kepler-644 b",0.0464100000,0.000000,0.03170000,3.15000000,"Kepler-644",6747.00,1.810000,1.490000
"Kepler-1752 b",0.2698000000,0.000000,0.05900000,4.54060463,"Kepler-1752",5446.00,0.821000,0.824000
"Kepler-280 c",0.0560000000,0.000000,0.01480000,2.01000000,"Kepler-280",5744.00,0.886000,0.962000
"Kepler-1208 b",0.0901000000,0.000000,0.01890000,2.32000000,"Kepler-1208",5001.00,0.760000,0.800000
"Kepler-263 c",0.2420000000,0.000000,0.02100000,2.47000000,"Kepler-263",5265.00,0.785000,0.793000
"Kepler-1101 b",0.3483000000,0.000000,0.02100000,2.47000000,"Kepler-1101",5614.00,0.910000,0.940000
"HD 168746 b",0.0700000000,0.110000,0.27000000,11.10000000,"HD 168746",5570.00,1.090000,1.070000
"K2-19 b",0.0740000000,0.200000,0.10194180,7.00000000,"K2-19",5322.00,0.820000,0.880000
"Kepler-560 b",0.0899000000,0.170000,0.01130000,1.72000000,"Kepler-560",3556.00,0.330000,0.340000
"Kepler-150 d",0.1040000000,0.000000,0.02580000,2.79000000,"Kepler-150",5560.00,0.939000,0.956000
"Kepler-498 b",0.0897000000,0.000000,0.02970000,3.03000000,"Kepler-498",5744.00,0.960000,0.980000
"Kepler-817 b",0.0493000000,0.000000,0.18900000,9.03000000,"Kepler-817",5861.00,1.030000,1.030000
"Kepler-937 b",0.3214000000,0.000000,0.04200000,3.72000000,"Kepler-937",6095.00,1.220000,1.150000
"K2-10 b",0.1370000000,0.310000,0.07928807,3.77300000,"K2-10",5533.00,0.956000,0.880000
"Kepler-571 b",0.0546000000,0.000000,0.02350000,2.64000000,"Kepler-571",5527.00,0.900000,0.930000
"Kepler-1458 b",0.2486900000,0.000000,0.02530000,2.76000000,"Kepler-1458",5653.00,0.940000,0.960000
"K2-335 b",,,0.01740000,2.21000000,"K2-335",6222.00,1.330000,1.230000
"Kepler-1600 c",0.0696100000,0.000000,0.01390000,1.94206512,"Kepler-1600",5119.00,0.834000,0.818000
"Kepler-221 d",0.0870000000,0.000000,0.01135833,2.73000000,"Kepler-221",5243.00,0.821000,0.854000
"Kepler-626 b",0.1091300000,0.000000,0.01840000,2.29000000,"Kepler-626",5813.00,1.050000,1.010000
"Kepler-1549 b",0.6687000000,0.000000,0.02240000,2.57000000,"Kepler-1549",5324.00,0.840000,0.880000
"K2-62 c",0.1148000000,,0.01450000,1.99000000,"K2-62",4455.00,0.696000,0.670000
"Kepler-1149 b",0.0473000000,0.000000,0.00839000,1.44000000,"Kepler-1149",5833.00,1.010000,1.020000
"Kepler-1288 b",0.0413500000,0.000000,0.00459000,1.12000000,"Kepler-1288",6132.00,1.290000,1.200000
"Kepler-128 b",0.1254500000,0.000000,0.01192467,1.42100000,"Kepler-128",6072.00,1.659000,1.184000
"Kepler-1245 b",0.0484000000,0.000000,0.00839000,1.44000000,"Kepler-1245",5306.00,0.830000,0.860000
"Kepler-1068 b",0.1303800000,0.000000,0.04030000,3.63000000,"Kepler-1068",5806.00,1.010000,1.010000
"Kepler-311 c",0.1450000000,0.000000,0.00829000,1.43000000,"Kepler-311",5905.00,1.188000,0.994000
"Kepler-150 e",0.1890000000,0.000000,0.03120000,3.12000000,"Kepler-150",5560.00,0.939000,0.956000
"Kepler-272 c",0.0610000000,0.000000,0.30800000,1.79000000,"Kepler-272",5297.00,0.929000,0.910000
"Kepler-152 c",0.3560000000,0.000000,0.01980000,2.39000000,"Kepler-152",5088.00,0.724000,0.779000
"Kepler-1506 b",0.1168000000,0.000000,0.00724000,1.32000000,"Kepler-1506",5676.00,0.930000,0.950000
"CoRoT-3 b",0.0578300000,0.000000,21.66000000,11.32000000,"CoRoT-3",6740.00,1.560000,1.370000
"HD 205739 b",0.8960000000,0.270000,1.37000000,13.60000000,"HD 205739",6176.00,1.330000,1.220000
"NGTS-10 b",0.0143000000,0.000000,2.16200000,13.50684500,"NGTS-10",4600.00,0.697000,0.696000
"HD 224693 b",0.1910000000,0.104000,0.70000000,14.00000000,"HD 224693",5894.00,1.930000,1.310000
"HD 156279 b",0.5020000000,0.647000,9.43200000,12.50000000,"HD 156279",5453.00,0.950000,0.940000
"HD 12661 b",0.8400000000,0.380000,2.43000000,13.30000000,"HD 12661",5645.00,1.200000,1.200000
"2MASS J12073346-3932539 b",55.0000000000,,5.00000000,12.90000000,"2MASS J12073346-3932539",2825.00,0.218870,0.024000
"HD 16417 b",0.1400000000,0.200000,0.06960000,5.00000000,"HD 16417",5841.00,1.639984,1.200000
"HD 19994 b",1.3050000000,0.063000,1.37000000,13.60000000,"HD 19994",6188.00,1.796470,1.365000
"HD 156279 c",5.4860000000,0.261000,9.75000000,12.50000000,"HD 156279",5453.00,0.950000,0.940000
"GJ 179 b",2.4100000000,0.210000,0.95000000,13.80000000,"GJ 179",3370.00,0.380000,0.357000
"GQ Lup b",100.0000000000,,20.00000000,33.60000000,"GQ Lup",4360.00,1.941530,0.700000
"GJ 832 b",3.7000000000,0.050000,0.99000000,13.80000000,"GJ 832",3472.00,0.441557,0.450000
"HD 37605 b",0.2770000000,0.674500,2.69000000,13.20000000,"HD 37605",5329.00,0.910000,0.940000
"HD 33283 b",0.1508000000,0.399000,0.32900000,12.50000000,"HD 33283",5935.00,1.970000,1.380000
"HD 9446 b",0.1890000000,0.200000,0.70000000,14.00000000,"HD 9446",5793.00,1.000000,1.000000
"HD 134987 c",5.8000000000,0.120000,0.82000000,13.90000000,"HD 134987",5585.00,1.250000,1.100000
"HD 110014 b",2.1400000000,0.462000,11.09000000,12.40000000,"HD 110014",4445.00,20.900000,2.170000
"HD 79498 b",2.9800000000,0.575000,1.34000000,13.60000000,"HD 79498",5748.00,1.050000,1.080000
"HD 45652 b",0.2370000000,0.607000,0.43300000,14.30000000,"HD 45652",5294.00,0.940000,0.920000
"HIP 79431 b",0.3600000000,0.290000,2.10000000,13.40000000,"HIP 79431",3191.00,0.478625,0.490000
"HD 3167 b",0.0179600000,0.000000,0.01563737,1.67000000,"HD 3167",5261.00,0.880000,0.837000
"GJ 876 b",0.2083170000,0.032400,2.27560000,13.30000000,"GJ 876",3293.74,0.300000,0.320000
"HD 114783 c",5.0000000000,0.050000,1.90000000,13.40000000,"HD 114783",5135.00,0.840622,0.900000
"HD 47186 c",2.3950000000,0.249000,0.35061000,13.00000000,"HD 47186",5657.00,1.080000,0.960000
"HD 114783 b",1.1600000000,0.144000,1.10000000,13.70000000,"HD 114783",5135.00,0.840622,0.853000
"HD 148156 b",2.4500000000,0.520000,0.85000000,13.90000000,"HD 148156",6308.00,1.210000,1.220000
"HD 12661 c",2.8145000000,0.031000,2.83000000,13.20000000,"HD 12661",5748.00,1.110000,1.020000
"HIP 14810 c",0.5490000000,0.156600,1.31000000,13.60000000,"HIP 14810",5544.00,1.070000,1.010000
"HIP 14810 b",0.0696000000,0.143990,3.90000000,13.00000000,"HIP 14810",5544.00,1.070000,1.010000
"GJ 876 d",0.0208066500,0.207000,0.02100000,2.51000000,"GJ 876",3293.74,0.300000,0.320000
"GJ 876 e",0.3343000000,0.055000,0.04600000,3.92000000,"GJ 876",3293.74,0.300000,0.320000
"gam1 Leo b",1.1900000000,0.144000,8.78000000,12.50000000,"gam1 Leo",4330.00,31.880000,1.230000
"HD 156411 b",1.8800000000,0.220000,0.74000000,14.00000000,"HD 156411",5900.00,2.160000,1.250000
"HD 8535 b",2.4500000000,0.150000,0.68000000,14.00000000,"HD 8535",6136.00,1.190000,1.130000
"HD 37605 c",3.7400000000,0.030000,3.19000000,13.10000000,"HD 37605",5329.00,0.910000,0.940000
"HD 1605 c",3.5840000000,0.099000,3.62000000,13.00000000,"HD 1605",4915.00,3.490000,1.330000
"BD+20 2457 b",1.4500000000,0.150000,21.42000000,12.10000000,"BD+20 2457",4137.00,49.000000,2.800000
"HD 240210 b",1.1600000000,0.150000,5.21000000,12.80000000,"HD 240210",4297.00,25.456816,0.820000
"CoRoT-17 b",0.0461000000,0.000000,2.43000000,11.43000000,"CoRoT-17",5740.00,1.590000,1.040000
"HD 132563 b",2.6200000000,0.220000,1.49000000,13.60000000,"HD 132563",6289.00,1.295770,1.231000
"HD 55696 b",3.1800000000,0.705000,4.27000000,12.90000000,"HD 55696",6012.00,1.520000,1.290000
"HD 148164 b",0.9930000000,0.587000,1.23000000,13.70000000,"HD 148164",6032.00,1.340000,1.210000
"24 Sex c",2.0800000000,0.290000,0.86000000,13.90000000,"24 Sex",5098.00,4.900000,1.540000
"HD 22781 b",1.1670000000,0.819100,13.65000000,12.30000000,"HD 22781",5027.00,0.743475,0.750000
"HD 68988 b",0.0700000000,0.120000,1.97000000,13.40000000,"HD 68988",5932.00,1.190000,1.280000
"HD 148164 c",6.1500000000,0.125000,5.16000000,12.80000000,"HD 148164",6032.00,1.340000,1.210000
"HD 29985 b",13.3900000000,0.261000,5.47300000,12.80000000,"HD 29985",4678.00,0.574666,0.750000
"HD 3167 c",0.1776000000,0.060000,0.03501890,3.00000000,"HD 3167",5261.00,0.880000,0.837000
"HD 90156 b",0.2500000000,0.310000,0.05700000,4.43000000,"HD 90156",5599.00,0.920286,0.840000
"HD 45350 b",1.9200000000,0.778000,1.79000000,13.50000000,"HD 45350",5566.00,1.264420,0.980000
"MOA-2009-BLG-266L b",3.2000000000,,0.03270000,3.21000000,"MOA-2009-BLG-266L",,,0.560000
"Kepler-595 c",0.0983000000,0.000000,0.01038291,1.00900000,"Kepler-595",5138.50,0.821000,0.930000
"Kepler-595 b",0.1582000000,0.000000,0.05474625,3.70800000,"Kepler-595",5138.50,0.821000,0.930000
"HD 177830 c",0.5137000000,0.300000,0.15000000,7.87000000,"HD 177830",4949.00,2.620000,1.470000
"OGLE-TR-111 b",0.0473000000,0.000000,0.55000000,11.42197100,"OGLE-TR-111",5040.00,0.830000,0.820000
"PSR B1257+12 b",0.1900000000,0.000000,0.00006293,0.33800000,"PSR B1257+12",,,1.400000
"PSR B1257+12 d",0.4600000000,0.026400,0.01227071,1.80000000,"PSR B1257+12",,,1.400000
"MOA-2007-BLG-192L b",0.6200000000,,0.01000000,1.63000000,"MOA-2007-BLG-192L",,,0.060000
"CoRoT-18 b",0.0295000000,0.080000,3.47000000,14.68000000,"CoRoT-18",5440.00,1.000000,0.950000
"Kepler-45 b",0.0300000000,0.110000,0.50500000,10.76000000,"Kepler-45",3820.00,0.550000,0.590000
"WASP-23 b",0.0376000000,0.062000,0.88400000,10.78300000,"WASP-23",5150.00,0.765000,0.780000
"HD 107148 b",0.2690000000,0.050000,0.21000000,9.60000000,"HD 107148",5797.00,1.169193,1.120000
"SWEEPS-11 b",0.0300000000,,9.70000000,12.66600000,"SWEEPS-11",,1.450000,1.100000
"OGLE-TR-211 b",0.0510000000,0.000000,1.03000000,15.24400000,"OGLE-TR-211",6325.00,1.640000,1.330000
"Lupus-TR-3 b",0.0464000000,0.000000,0.81000000,9.97600000,"Lupus-TR-3",5000.00,0.820000,0.870000
"OGLE-2005-BLG-390L b",2.6000000000,,0.01700000,2.21000000,"OGLE-2005-BLG-390L",,,0.220000
"HN Peg b",773.0000000000,,21.99870000,11.77680000,"HN Peg",6186.00,1.006954,1.080000
"MOA-2009-BLG-387L b",1.8000000000,,2.60000000,13.20000000,"MOA-2009-BLG-387L",,,0.190000
"GJ 674 b",0.0390000000,0.200000,0.03500000,3.33000000,"GJ 674",3600.00,0.364630,0.350000
"CoRoT-11 b",0.0436000000,0.000000,2.33000000,16.03000000,"CoRoT-11",6440.00,1.370000,1.270000
"2MASS J04414489+2301513 b",15.0000000000,,7.50000000,12.60000000,"2MASS J04414489+2301513",2936.00,0.231916,0.019000
"GJ 3634 b",0.0287000000,0.080000,0.02600000,2.83000000,"GJ 3634",3517.00,0.430000,0.450000
"CoRoT-13 b",0.0510000000,0.000000,1.30800000,9.92000000,"CoRoT-13",5945.00,1.010000,1.090000
"OGLE-TR-10 b",0.0434000000,0.000000,0.62000000,14.01100000,"OGLE-TR-10",5950.00,1.170000,1.140000
"HD 27442 b",1.2710000000,0.060000,1.56000000,13.50000000,"HD 27442",4846.00,3.180000,1.230000
"GJ 3021 b",0.4900000000,0.511000,3.37000000,13.10000000,"GJ 3021",5540.00,0.900000,0.900000
"HD 221416 b",0.1228000000,0.115000,0.19000000,9.17000000,"HD 221416",5080.00,2.943000,1.212000
"CoRoT-8 b",0.0630000000,0.000000,0.22000000,6.39000000,"CoRoT-8",5080.00,0.770000,0.880000
"Kepler-18 c",0.0752000000,0.000000,0.05400000,5.49000000,"Kepler-18",5345.00,1.108000,0.972000
"Kepler-18 b",0.0447000000,0.000000,0.02200000,2.00000000,"Kepler-18",5345.00,1.108000,0.972000
"HD 46375 b",0.0398000000,0.063000,0.22600000,10.00000000,"HD 46375",5285.00,0.914196,0.920000
"HD 221287 b",1.2500000000,0.080000,3.09000000,13.10000000,"HD 221287",6304.00,1.138640,1.250000
"HD 33564 b",1.1000000000,0.340000,9.10000000,12.50000000,"HD 33564",6250.00,1.436700,1.250000
"HD 189733 b",0.0312600000,0.000000,1.13000000,12.66617000,"HD 189733",5052.00,0.750000,0.790000
"OGLE2-TR-L9 b",0.0308000000,,4.50000000,18.04600000,"OGLE2-TR-L9",6933.00,1.530000,1.520000
"Kepler-4 b",0.0456000000,0.000000,0.07700000,4.00200000,"Kepler-4",5857.00,1.487000,1.223000
"WASP-38 b",0.0752200000,0.030000,3.44000000,13.78707000,"WASP-38",6180.00,1.520000,1.760000
"HAT-P-13 c",1.2580000000,0.661600,14.28000000,12.30000000,"HAT-P-13",5653.00,1.756000,1.320000
"Kepler-18 d",0.1172000000,0.000000,0.05200000,6.98000000,"Kepler-18",5345.00,1.108000,0.972000
"HAT-P-37 b",0.0379000000,0.058000,1.16900000,13.20400000,"HAT-P-37",5500.00,0.877000,0.929000
"HD 129445 b",2.9000000000,0.700000,2.51000000,13.30000000,"HD 129445",5646.00,1.175816,0.990000
"Kepler-419 c",1.6800000000,0.184000,7.30000000,12.60000000,"Kepler-419",6430.00,1.740000,1.390000
"51 Eri b",10.4000000000,0.570000,10.90000000,,"51 Eri",7295.00,1.487260,1.750000
"HD 70573 b",1.7600000000,0.400000,6.10000000,12.80000000,"HD 70573",5737.00,0.976919,1.000000
"HD 47536 b",1.9300000000,0.200000,7.32000000,12.60000000,"HD 47536",4380.00,23.470000,2.100000
"WASP-67 b",0.0517900000,0.000000,0.43000000,12.89035000,"WASP-67",5200.00,0.880000,0.910000
"CoRoT-14 b",0.0270000000,0.000000,7.60000000,12.22000000,"CoRoT-14",6035.00,1.210000,1.130000
"MOA-2008-BLG-310L b",1.1000000000,,0.07360000,5.18000000,"MOA-2008-BLG-310L",,,0.210000
"Kepler-419 b",0.3700000000,0.833000,2.50000000,10.80000000,"Kepler-419",6430.00,1.740000,1.390000
"HD 24040 b",4.9200000000,0.040000,5.00000000,12.90000000,"HD 24040",5802.00,1.300000,1.110000
"HD 11964 c",0.2290000000,0.300000,0.07880000,5.38000000,"HD 11964",5303.00,2.009710,0.910000
"CoRoT-6 b",0.0855000000,0.100000,2.96000000,13.06800000,"CoRoT-6",6090.00,1.025000,1.050000
"WASP-31 b",0.0465900000,0.000000,0.47800000,17.36300000,"WASP-31",6302.00,1.252000,1.163000
"HD 108236 f",0.1758000000,0.051000,0.01490000,2.01700000,"HD 108236",5660.00,0.877000,0.869000
"Kepler-59 c",0.1311400000,0.000000,0.01198760,1.98000000,"Kepler-59",6074.00,0.940000,1.040000
"Kepler-58 c",0.1230700000,0.000000,0.16675665,2.86000000,"Kepler-58",5843.00,1.030000,0.950000
"HD 154857 c",5.3600000000,0.060000,2.58000000,13.20000000,"HD 154857",5605.00,1.760000,1.718000
"KOI-217 b",0.0477000000,0.000000,,12.44200000,"KOI-217",5545.00,0.860000,0.950000
"Kepler-51 c",0.3840000000,0.014000,0.01300000,9.00000000,"Kepler-51",6018.00,0.940000,1.040000
"BD-210397 c",5.9000000000,0.430000,4.80000000,12.90000000,"BD-210397",4051.00,0.747000,0.690000
"Kepler-62 c",0.0929000000,0.000000,0.01300000,0.54000000,"Kepler-62",4925.00,0.640000,0.690000
"Kepler-62 b",0.0553000000,0.000000,0.03000000,1.31000000,"Kepler-62",4925.00,0.640000,0.690000
"CHXR 73 b",210.0000000000,,12.56900000,12.30000000,"CHXR 73",3099.00,,0.350000
"FU Tau b",800.0000000000,,16.00000000,12.20000000,"FU Tau",2838.00,,0.050000
"GJ 667 C b",0.0504310000,0.200000,0.01789000,2.25000000,"GJ 667 C",3350.00,,0.330000
"HD 168443 c",2.8420000000,0.210000,17.30600000,12.20000000,"HD 168443",5491.00,1.711479,0.980000
"Kepler-59 b",0.0994300000,0.000000,0.01290004,1.10000000,"Kepler-59",6074.00,0.940000,1.040000
"Kepler-53 b",0.1361000000,0.000000,0.34924506,2.89000000,"Kepler-53",5858.00,0.890000,0.980000
"HD 82943 c",0.7434500000,0.366300,1.95900000,13.40000000,"HD 82943",5935.00,1.182600,1.080000
"HD 82943 b",1.1830600000,0.162000,1.68100000,13.50000000,"HD 82943",5935.00,1.182600,1.080000
"UZ For b",5.9000000000,0.040000,6.30000000,,"UZ For",5286.90,,0.700000
"Kepler-69 b",0.0940000000,0.160000,0.01780000,2.24000000,"Kepler-69",5638.00,0.930000,0.810000
"HIP 5158 c",7.7000000000,0.140000,15.04000000,12.20000000,"HIP 5158",4813.00,0.754089,0.780000
"HU Aqr AB b",3.6000000000,0.000000,5.90000000,12.80000000,"HU Aqr",5952.00,,0.880000
"Kepler-37 e",0.2500000000,0.000000,0.02548545,0.37000000,"Kepler-37",5288.00,0.772000,0.800000
"Kepler-65 d",0.0840000000,0.014000,0.01300000,1.52000000,"Kepler-65",6211.00,1.410000,1.250000
"Kepler-52 c",0.1037900000,0.012000,0.14284437,1.84000000,"Kepler-52",4075.00,0.520000,0.540000
"Kepler-55 b",0.1593000000,0.000000,0.13500000,2.43000000,"Kepler-55",4362.00,0.580000,0.620000
"UZ For c",2.8000000000,0.050000,7.70000000,,"UZ For",5286.90,,0.700000
"Kepler-413 b",0.3553000000,0.118100,0.21100000,4.34700000,"Kepler-413",4700.00,0.776100,0.820000
"WASP-14 b",0.0370000000,0.090000,8.84000000,15.46842000,"WASP-14",6475.00,1.400000,1.620000
"HAT-P-2 b",0.0681400000,0.517200,9.02000000,10.65975900,"HAT-P-2",6380.00,1.390000,1.330000
"HAT-P-42 b",0.0575000000,0.000000,1.04400000,14.34800000,"HAT-P-42",5743.00,1.530000,1.178000
"WASP-59 b",0.0697000000,0.100000,0.86300000,8.68700000,"WASP-59",4650.00,0.613000,0.719000
"HAT-P-39 b",0.0509000000,0.000000,0.59900000,17.60900000,"HAT-P-39",6430.00,1.625000,1.404000
"alf Ari b",1.2000000000,0.250000,1.80000000,13.40000000,"alf Ari",4553.00,13.900000,1.500000
"KOI-55 b",0.0060000000,,0.00140000,0.75900000,"KOI-55",27730.00,0.203000,0.496000
"GJ 536 b",0.0668000000,0.000000,0.02004226,2.41000000,"GJ 536",3641.00,0.529000,0.528000
"HAT-P-7 b",0.0380900000,0.000000,1.84000000,16.92559000,"HAT-P-7",6389.00,2.000000,1.560000
"WTS-2 b",0.0185500000,0.000000,1.12000000,15.27786700,"WTS-2",5000.00,0.752000,0.820000
"WASP-100 b",0.0457400000,0.000000,1.26000000,14.90797000,"WASP-100",6900.00,1.570000,0.770000
"KELT-6 c",2.3900000000,0.210000,3.71000000,13.00000000,"KELT-6",6272.00,1.529000,1.126000
"KOI-55 c",0.0076000000,,0.00210000,0.86700000,"KOI-55",27730.00,0.203000,0.496000
"Ross 458 c",1100.0000000000,,6.00000000,14.01125000,"Ross 458",3965.42,0.562566,0.556419
"Kepler-38 b",0.4632000000,0.032000,0.38400000,4.30000000,"Kepler-38",5623.00,1.752000,0.941000
"Kepler-30 d",0.5000000000,0.022000,0.07300000,8.80000000,"Kepler-30",5498.00,0.950000,0.990000
"ROXs 42 B b",157.0000000000,0.580000,9.00000000,12.50000000,"ROXs 42 B",3433.00,1.336580,1.000000
"HD 217107 c",5.3200000000,0.517000,4.50000000,12.90000000,"HD 217107",5575.00,1.199310,0.980000
"HD 27894 b",0.1250000000,0.047000,0.61900000,14.10000000,"HD 27894",4875.00,0.891767,0.810000
"Kepler-50 c",0.0870000000,0.000000,0.02580009,2.17000000,"Kepler-50",6225.00,1.580000,1.240000
"HD 233604 b",0.7470000000,0.050000,6.57500000,12.70000000,"HD 233604",4791.00,10.900000,1.500000
"WD 0806-661 b",2500.0000000000,,8.00000000,12.60000000,"WD 0806-661",9552.00,,0.620000
"Kepler-63 b",0.0800000000,0.450000,0.37800000,6.11000000,"Kepler-63",5576.00,0.901000,0.984000
"Kepler-77 b",0.0450100000,0.000000,0.43000000,10.76100000,"Kepler-77",5520.00,0.990000,0.950000
"HAT-P-44 c",1.7520000000,0.494000,4.00000000,13.00000000,"HAT-P-44",5295.00,0.949000,0.942000
"HATS-5 b",0.0542000000,0.019000,0.23700000,10.22300000,"HATS-5",5304.00,0.871000,0.936000
"HD 10180 d",0.1285900000,0.131000,10.37000000,,"HD 10180",5911.00,1.109000,1.060000
"WTS-1 b",0.0470000000,0.100000,4.01000000,16.70000000,"WTS-1",6250.00,1.150000,1.200000
"HD 11506 d",18.2000000000,0.290000,12.80000000,12.30000000,"HD 11506",6123.00,1.240000,1.220000
"CoRoT-26 b",0.0526000000,0.000000,0.52000000,14.12000000,"CoRoT-26",5590.00,1.790000,1.090000
"CoRoT-25 b",0.0578000000,0.000000,0.27000000,12.11000000,"CoRoT-25",6040.00,1.190000,1.090000
"Kepler-186 b",0.0343000000,0.000000,0.00390000,1.07000000,"Kepler-186",3788.00,0.472000,0.478000
"91 Aqr b",0.7000000000,0.027000,3.20000000,13.10000000,"91 Aqr",4665.00,11.000000,1.400000
"GJ 163 b",0.0607000000,0.073000,0.03335116,3.25000000,"GJ 163",3500.00,0.409738,0.400000
"Kepler-27 c",0.1910000000,0.000000,13.80000000,4.90000000,"Kepler-27",5400.00,0.590000,0.650000
"Kepler-27 b",0.1180000000,0.000000,9.11000000,4.00000000,"Kepler-27",5400.00,0.590000,0.650000
"HD 215497 c",1.3100000000,0.470000,0.35000000,13.00000000,"HD 215497",5113.00,0.850000,0.920000
"BD-06 1339 b",0.0428000000,0.000000,4.79200000,,"BD-06 1339",4324.00,0.686355,0.700000
"Kepler-186 d",0.0781000000,0.000000,0.00800000,1.40000000,"Kepler-186",3788.00,0.472000,0.478000
"Kepler-11 d",0.1550000000,0.004000,0.02300000,3.12000000,"Kepler-11",5663.00,1.065000,0.961000
"Kepler-11 b",0.0910000000,0.045000,0.00600000,1.80000000,"Kepler-11",5663.00,1.065000,0.961000
"Kepler-31 c",0.2600000000,0.000000,4.70000000,5.30000000,"Kepler-31",6340.00,1.220000,1.210000
"Kepler-32 c",0.0900000000,0.000000,0.50000000,2.00000000,"Kepler-32",3900.00,0.530000,0.580000
"Kepler-1735 b",0.0621000000,0.000000,0.00578000,1.19429134,"Kepler-1735",3975.00,0.509000,0.535000
"HD 66141 b",1.2000000000,0.070000,6.00000000,12.80000000,"HD 66141",4323.00,21.400000,1.100000
"HD 208527 b",2.1000000000,0.080000,9.90000000,12.50000000,"HD 208527",4035.00,51.100000,1.600000
"MOA-bin-1L b",8.3000000000,,3.70000000,13.00000000,"MOA-bin-1L",,,0.750000
"GU Psc b",2000.0000000000,,11.30000000,14.17900000,"GU Psc",4031.81,0.450458,0.325000
"GJ 163 c",0.1254000000,0.099000,0.02139509,2.50000000,"GJ 163",3500.00,0.409738,0.400000
"GJ 163 d",1.0304000000,0.373000,0.09250228,5.92000000,"GJ 163",3500.00,0.409738,0.400000
"Kepler-32 d",0.1300000000,0.000000,0.12556744,2.70000000,"Kepler-32",3900.00,0.530000,0.580000
"Kepler-31 d",0.4000000000,0.000000,6.80000000,3.90000000,"Kepler-31",6340.00,1.220000,1.210000
"HAT-P-45 b",0.0452000000,0.049000,0.89200000,15.98400000,"HAT-P-45",6330.00,1.319000,1.259000
"HAT-P-44 b",0.0507000000,0.044000,0.35200000,13.92200000,"HAT-P-44",5295.00,0.949000,0.942000
"MOA-2010-BLG-073L b",1.2100000000,,11.00000000,12.40000000,"MOA-2010-BLG-073L",,,0.160000
"HAT-P-27 b",0.0400000000,0.000000,0.62000000,11.43000000,"HAT-P-27",5316.00,0.864673,0.916000
"DENIS-P J082303.1-491201 b",0.3600000000,0.345000,28.50000000,11.90000000,"DENIS-P J082303.1-491201",,,0.075000
"HIP 63242 b",0.5650000000,0.230000,9.18000000,12.50000000,"HIP 63242",4830.00,10.275655,1.540000
"Kepler-31 b",0.1600000000,0.000000,0.11560263,5.50000000,"Kepler-31",6340.00,1.220000,1.210000
"Kepler-32 f",0.0130000000,0.000000,3.04953232,0.82000000,"Kepler-32",3900.00,0.530000,0.580000
"HD 66428 c",9.4080000000,0.207000,1.76400000,13.50000000,"HD 66428",5716.00,1.130000,1.010000
"Kepler-424 c",0.7300000000,,6.97000000,12.70000000,"Kepler-424",5460.00,0.940000,1.010000
"KMT-2023-BLG-1896L b",2.8600000000,,0.05144285,4.19000000,"KMT-2023-BLG-1896L",,,0.720000
"HD 190984 b",5.5000000000,0.570000,3.58000000,13.00000000,"HD 190984",5988.00,1.530000,0.910000
"Kepler-134 c",0.0920000000,0.000000,0.00669000,1.26000000,"Kepler-134",5983.00,1.176000,0.956000
"Kepler-210 b",0.0320000000,0.000000,0.02820000,2.94000000,"Kepler-210",4559.00,0.650000,0.770000
"Kepler-422 b",0.0820000000,0.000000,0.43000000,12.89000000,"Kepler-422",5972.00,1.240000,1.150000
"Kepler-426 b",0.0414000000,0.180000,0.34000000,12.22000000,"Kepler-426",5725.00,0.920000,0.910000
"Kepler-16 b",0.7048000000,0.006900,0.33300000,8.44930000,"Kepler-16",4450.00,0.648900,0.689700
"KOI-94 d",0.1684000000,0.022000,0.33400000,11.27000000,"KOI-94",6182.00,1.520000,1.277000
"KOI-94 b",0.0511900000,0.250000,0.03300000,1.71000000,"KOI-94",6182.00,1.520000,1.277000
"Kepler-35 b",0.6034700000,0.042000,0.12700000,8.16000000,"Kepler-35",5606.00,1.028400,0.887700
"HD 103774 b",0.0700000000,0.090000,0.36700000,13.30000000,"HD 103774",6489.00,1.581047,1.335000
"HD 109271 b",0.0790000000,0.250000,0.05400000,4.31000000,"HD 109271",5783.00,1.294595,1.047000
"Kepler-415 c",0.0695000000,0.000000,0.01480000,2.01000000,"Kepler-415",4362.00,0.643000,0.670000
"HD 50554 b",2.3530000000,0.501000,5.85000000,12.80000000,"HD 50554",5987.00,1.020000,1.040000
"Kepler-428 b",0.0433000000,0.220000,1.27000000,12.11000000,"Kepler-428",5150.00,0.800000,0.870000
"Kepler-425 b",0.0464000000,0.330000,0.25000000,10.96200000,"Kepler-425",5170.00,0.860000,0.930000
"WASP-70 A b",0.0485300000,0.000000,0.59000000,13.04700000,"WASP-70 A",5763.00,1.215000,1.106000
"KOI-94 e",0.3046000000,0.019000,0.11000000,6.56000000,"KOI-94",6182.00,1.520000,1.277000
"Kepler-396 c",0.3894600000,0.000000,0.05600000,5.30000000,"Kepler-396",5656.00,1.060000,0.850000
"MOA-2010-BLG-477L b",2.0000000000,,1.50000000,13.60000000,"MOA-2010-BLG-477L",5950.00,,0.670000
