pl_name,pl_orbsmax,pl_orbeccen,pl_bmassj,pl_rade,hostname,st_teff,st_rad,st_mass
"tau Cet e",0.5380000000,0.180000,0.01236510,1.81000000,"tau Cet",5310.00,0.830000,0.783000
"tau Cet f",1.3340000000,0.160000,0.01236510,1.81000000,"tau Cet",5310.00,0.830000,0.783000
"pi Men c",0.0683900000,0.000000,0.01142126,2.01890000,"HD 39091",5998.00,1.170000,1.070000
"GJ 411 b",0.0787900000,0.063000,0.00846369,1.45000000,"GJ 411",3719.00,0.368500,0.389900
"GJ 887 b",0.0680000000,0.000000,0.01321461,1.88000000,"GJ 887",3688.00,0.471200,0.489000
"GJ 887 c",0.1200000000,0.265000,0.02391215,2.67000000,"GJ 887",3688.00,0.471200,0.489000
"HD 141004 b",0.1238000000,0.160000,0.04290000,3.77000000,"HD 141004",5885.38,1.389372,1.051904
"HD 95735 c",2.9400000000,0.132000,0.04279039,3.76000000,"GJ 411",3719.00,0.368500,0.389900
"TOI-1518 b",0.0371200000,0.010000,1.83000000,21.05046575,"TOI-1518",7299.00,1.942000,1.880000
"HD 189567 b",0.1110000000,0.189000,0.02674399,2.85000000,"HD 189567",5726.00,1.040000,0.830000
"HD 189567 c",0.1970000000,0.160000,0.02202446,2.54000000,"HD 189567",5726.00,1.040000,0.830000
"pi Men d",0.5060000000,0.220000,0.04209819,3.72000000,"HD 39091",5998.00,1.190000,1.070000
"GJ 3090 b",0.0316000000,0.250000,0.01422151,2.18000000,"GJ 3090",3707.00,0.516000,0.519000
"TOI-1774.01",,0.050000,0.02674399,2.78000000,"TOI-1774",5746.00,1.130300,0.991000
"TOI-2145 b",0.1117000000,0.214000,5.68000000,12.24020692,"TOI-2145",6206.00,2.750000,1.710000
"HD 140901 b",0.0850000000,0.472000,0.04900000,4.07000000,"HD 140901",5610.00,0.950000,0.990000
"HD 140901 c",11.8000000000,0.770000,1.80000000,13.40000000,"HD 140901",5610.00,0.950000,1.060000
"AF Lep b",8.9960000000,0.015000,3.61000000,13.00000000,"AF Lep",6140.00,1.250000,1.218000
